title,title_uuid,volume_number,length,page_count,clean_title
20th Century Boys,3f42387b-2c2e-4467-8e69-c6190a5dc7a5,20,24466,211,20th Century Boys
20th Century Boys,3f42387b-2c2e-4467-8e69-c6190a5dc7a5,21,26778,211,20th Century Boys
20th Century Boys,3f42387b-2c2e-4467-8e69-c6190a5dc7a5,22,30346,258,20th Century Boys
21 Seiki Shounen (Upscaled),f60f696f-eef1-489a-a1c4-c29afacb6f32,1,22696,212,21 Seiki Shounen
21 Seiki Shounen (Upscaled),f60f696f-eef1-489a-a1c4-c29afacb6f32,2,21042,226,21 Seiki Shounen
21st Century Boys,84eace3f-faf8-426a-87df-70f8a6af0fdf,1,23066,200,21st Century Boys
21st Century Boys,84eace3f-faf8-426a-87df-70f8a6af0fdf,2,25017,193,21st Century Boys
3-gatsu no Lion,5c7e9b20-7999-4a7d-8af4-c4efe40db587,1,32988,192,3-gatsu no Lion
3-gatsu no Lion,5c7e9b20-7999-4a7d-8af4-c4efe40db587,2,31358,196,3-gatsu no Lion
3-gatsu no Lion,5c7e9b20-7999-4a7d-8af4-c4efe40db587,3,32582,184,3-gatsu no Lion
3-gatsu no Lion,5c7e9b20-7999-4a7d-8af4-c4efe40db587,4,35529,184,3-gatsu no Lion
3-gatsu no Lion,5c7e9b20-7999-4a7d-8af4-c4efe40db587,5,32025,184,3-gatsu no Lion
3-gatsu no Lion,5c7e9b20-7999-4a7d-8af4-c4efe40db587,6,33013,179,3-gatsu no Lion
3-gatsu no Lion,5c7e9b20-7999-4a7d-8af4-c4efe40db587,7,29922,183,3-gatsu no Lion
3-gatsu no Lion,5c7e9b20-7999-4a7d-8af4-c4efe40db587,8,31567,179,3-gatsu no Lion
3-gatsu no Lion,5c7e9b20-7999-4a7d-8af4-c4efe40db587,9,34071,181,3-gatsu no Lion
3-gatsu no Lion,5c7e9b20-7999-4a7d-8af4-c4efe40db587,10,36273,182,3-gatsu no Lion
3-gatsu no Lion,5c7e9b20-7999-4a7d-8af4-c4efe40db587,11,36994,189,3-gatsu no Lion
3-gatsu no Lion,5c7e9b20-7999-4a7d-8af4-c4efe40db587,12,23112,168,3-gatsu no Lion
3-gatsu no Lion,5c7e9b20-7999-4a7d-8af4-c4efe40db587,13,37553,182,3-gatsu no Lion
3-gatsu no Lion,5c7e9b20-7999-4a7d-8af4-c4efe40db587,14,29685,182,3-gatsu no Lion
3-gatsu no Lion,5c7e9b20-7999-4a7d-8af4-c4efe40db587,15,71913,302,3-gatsu no Lion
6000,bf308c30-90fe-4f81-9da5-04d714ca1df4,1,12884,178,6000
6000,bf308c30-90fe-4f81-9da5-04d714ca1df4,2,12940,177,6000
6000,bf308c30-90fe-4f81-9da5-04d714ca1df4,3,9585,176,6000
6000,bf308c30-90fe-4f81-9da5-04d714ca1df4,4,11534,210,6000
A Channel,b3574ea2-18ed-42ea-b481-15bb49b33a13,1,25413,122,A Channel
A Channel,b3574ea2-18ed-42ea-b481-15bb49b33a13,2,27267,139,A Channel
A Channel,b3574ea2-18ed-42ea-b481-15bb49b33a13,3,32032,148,A Channel
A Channel,b3574ea2-18ed-42ea-b481-15bb49b33a13,4,28045,125,A Channel
A Channel,b3574ea2-18ed-42ea-b481-15bb49b33a13,5,27954,125,A Channel
A Channel,b3574ea2-18ed-42ea-b481-15bb49b33a13,6,31188,124,A Channel
A Channel,b3574ea2-18ed-42ea-b481-15bb49b33a13,7,29372,124,A Channel
A Channel,b3574ea2-18ed-42ea-b481-15bb49b33a13,8,24450,124,A Channel
A Channel,b3574ea2-18ed-42ea-b481-15bb49b33a13,9,23261,124,A Channel
A Channel,b3574ea2-18ed-42ea-b481-15bb49b33a13,10,24395,124,A Channel
A Channel,b3574ea2-18ed-42ea-b481-15bb49b33a13,11,23435,124,A Channel
A Silent Voice,3a6913e9-d78c-4183-993a-8311f58c253e,1,14414,175,A Silent Voice
A Silent Voice,3a6913e9-d78c-4183-993a-8311f58c253e,2,16917,194,A Silent Voice
A Silent Voice,3a6913e9-d78c-4183-993a-8311f58c253e,3,19123,194,A Silent Voice
A Silent Voice,3a6913e9-d78c-4183-993a-8311f58c253e,4,17956,194,A Silent Voice
A Silent Voice,3a6913e9-d78c-4183-993a-8311f58c253e,5,18799,193,A Silent Voice
A Silent Voice,3a6913e9-d78c-4183-993a-8311f58c253e,6,17177,193,A Silent Voice
A Silent Voice,3a6913e9-d78c-4183-993a-8311f58c253e,7,29195,211,A Silent Voice
ACCA Jusanku Kansatsuka,af8596cb-b66e-472c-a950-434d3ef960fc,1,17969,183,ACCA Jusanku Kansatsuka
ACCA Jusanku Kansatsuka,af8596cb-b66e-472c-a950-434d3ef960fc,2,22578,211,ACCA Jusanku Kansatsuka
ACCA Jusanku Kansatsuka,af8596cb-b66e-472c-a950-434d3ef960fc,3,18531,265,ACCA Jusanku Kansatsuka
ACCA Jusanku Kansatsuka,af8596cb-b66e-472c-a950-434d3ef960fc,4,19357,198,ACCA Jusanku Kansatsuka
ACCA Jusanku Kansatsuka,af8596cb-b66e-472c-a950-434d3ef960fc,5,17492,198,ACCA Jusanku Kansatsuka
ACCA Jusanku Kansatsuka,af8596cb-b66e-472c-a950-434d3ef960fc,6,19633,201,ACCA Jusanku Kansatsuka
ACCA Jusanku Kansatsuka,af8596cb-b66e-472c-a950-434d3ef960fc,7,16563,177,ACCA Jusanku Kansatsuka
ACCA Jusanku Kansatsuka,af8596cb-b66e-472c-a950-434d3ef960fc,8,18714,199,ACCA Jusanku Kansatsuka
ACCA Jusanku Kansatsuka,af8596cb-b66e-472c-a950-434d3ef960fc,9,28608,263,ACCA Jusanku Kansatsuka
AKIRA,f0fa15ef-bd35-41ca-b749-fd327119472c,1,27109,363,AKIRA
AKIRA,f0fa15ef-bd35-41ca-b749-fd327119472c,2,24120,306,AKIRA
AKIRA,f0fa15ef-bd35-41ca-b749-fd327119472c,3,27286,279,AKIRA
AKIRA,f0fa15ef-bd35-41ca-b749-fd327119472c,4,36796,397,AKIRA
