clean_title,volume_count,page_count,num_of_unique_chrs,num_of_chrs,avg_chr_per_page,avg_chr_per_volume
Rental Magica,5,929,1452,88427,95.18514531754575,17685.4
Rentaru Onichan,4,829,766,45154,54.468033775633295,11288.5
Ritou no Umi,1,132,701,16799,127.26515151515152,16799.0
Rojica to Rakkasei,3,668,1068,50350,75.37425149700599,16783.333333333332
Rozen Maiden,8,1236,1464,131669,106.52831715210355,16458.625
Rudolf Turkey,7,1473,1467,122769,83.34623217922606,17538.428571428572
Ruri,2,185,775,23320,126.05405405405405,11660.0
Ruri Dragon,2,363,972,45936,126.54545454545455,22968.0
Ryushika Ryushika,10,1384,1340,146655,105.96459537572254,14665.5
SAKAMOTO DAYS,10,1984,1773,200162,100.88810483870968,20016.2
SPY×FAMILY,13,2684,1922,376654,140.33308494783904,28973.384615384617
SS Sisters,5,922,1188,118445,128.4652928416486,23689.0
Sabishisugite Rezu Fuzoku ni Ikimashita Report,1,148,804,25676,173.48648648648648,25676.0
Saikin yatotta meido ga ayashii,6,828,888,63151,76.26932367149759,10525.166666666666
Saint Seiya,15,4679,1900,482954,103.21735413549904,32196.933333333334
Saishuu Heiki Kanojo,7,1818,1470,228421,125.64411441144114,32631.571428571428
Saiteihen no Otoko,3,603,1071,66233,109.8391376451078,22077.666666666668
Sakamichi no Apollon,9,1778,1509,190941,107.39088863892013,21215.666666666668
Sakamoto desu ga,4,865,1331,56679,65.52485549132948,14169.75
Sakura Tsuushin,22,4266,1833,506338,118.69151429910923,23015.363636363636
Same Girl,5,966,1013,57130,59.1407867494824,11426.0
Same-z,2,236,561,14058,59.567796610169495,7029.0
Sankarea,11,1955,1623,203754,104.22199488491049,18523.090909090908
"Saraba, Yoki Hi",8,1440,1458,154704,107.43333333333334,19338.0
Saturn Return,10,1877,1901,272216,145.02717101758125,27221.6
Sayonara Eri,1,201,479,12237,60.88059701492537,12237.0
Sayonara Rose Garden,3,592,1164,65430,110.52364864864865,21810.0
Sayonara Zetsubou Sensei,30,4924,2742,1127028,228.8846466287571,37567.6
School Rumble,24,4001,2247,814137,203.4833791552112,33922.375
Seishokuki,19,3853,1755,369923,96.00908383078121,19469.63157894737
Seishun Buta Yarou wa Bunny Girl Senpai no Yume wo Minai,2,309,978,36746,118.91909385113269,18373.0
Seishun Pop,6,1207,1413,135617,112.35874067937034,22602.833333333332
Seishun wa Juujuu da,2,364,969,39000,107.14285714285714,19500.0
Sekai Oni,11,2151,1835,178642,83.05067410506742,16240.181818181818
Sekai no Owari to Yoake Mae,1,281,1044,35087,124.86476868327402,35087.0
Sekai wa Owattemo Ikiru tte Tanoshii,4,682,1030,53602,78.59530791788856,13400.5
Sekitou Elegy,16,3383,1536,309650,91.531185338457,19353.125
Sennen Mannen Ringo no Ko,2,348,896,29487,84.73275862068965,14743.5
Senpai ga Uzai Kouhai no Hanashi,6,853,995,83240,97.58499413833529,13873.333333333334
Sensei no Shiroi Uso,8,1604,1248,94455,58.88715710723192,11806.875
Sensei wa koi o oshie rarenai,7,1072,1211,104825,97.78451492537313,14975.0
Servant x Service,4,610,1443,158988,260.6360655737705,39747.0
Shachiku to Yuurei,3,431,934,39271,91.11600928074246,13090.333333333334
Shadows House,13,2281,1703,288164,126.33231039017974,22166.46153846154
Shadows House [Upscaled],16,2888,1799,347275,120.24757617728532,21704.6875
Shaman King,35,6917,2028,693056,100.19603874512072,19801.6
Shamo,34,6834,1939,292698,42.82967515364355,8608.764705882353
Shiba Inuko-san,4,478,1278,78944,165.15481171548117,19736.0
Shibito no Koe wo Kiku ga Yoi,12,2229,1722,152341,68.34499775684164,12695.083333333334
Shigatsu wa Kimi no Uso,11,2190,1538,150497,68.72009132420091,13681.545454545454
Shigurui,15,3053,2256,163722,53.62659679004258,10914.8
Shikabanechou Undead,4,711,1221,61266,86.16877637130801,15316.5
Shiki,11,2166,1958,205376,94.81809787626962,18670.545454545456
Shimeji Simulation,4,556,1134,85846,154.39928057553956,21461.5
Shin Black Jack ni Yoroshiku,9,1901,1325,162507,85.4850078905839,18056.333333333332
Shin Seiki Evangelion,14,2516,1659,192065,76.33744038155803,13718.92857142857
Shinai Naru Boku e Satsui wo Komete,11,2243,1657,208474,92.94427106553722,18952.18181818182
Shindou,4,870,1216,77210,88.74712643678161,19302.5
Shingeki no Kyojin,34,6530,1985,532822,81.59601837672282,15671.235294117647
Shingetsutan Tsukihime,10,2146,1689,174946,81.52190121155638,17494.6
Shirley,2,410,817,33404,81.47317073170731,16702.0
Shiroseijo to Kurobokushi,11,1875,1495,230326,122.84053333333334,20938.727272727272
Shishunki-chan no Shitsukekata,9,1608,1412,168875,105.02176616915423,18763.88888888889
Shizuko wa Ore no Yome,3,473,1055,55164,116.62579281183932,18388.0
Shokugeki no Souma,36,7244,2608,1017863,140.51118166758698,28273.972222222223
Shoujo Shuumatsu Ryokou,4,652,870,43261,66.35122699386503,10815.25
Shounen No Abyss,8,1526,1333,116819,76.55242463958061,14602.375
Shounen no Abyss,17,3593,1589,255671,71.15808516559977,15039.470588235294
Shouwa Genroku Rakugo Shinjuu,10,1604,1883,226300,141.0847880299252,22630.0
Shuumatsu Touring,4,786,1155,63475,80.75699745547074,15868.75
Shōnan Jun'ai Gumi,31,5753,1862,829179,144.12984529810532,26747.709677419356
Silent Sinner in Blue,3,546,1254,50432,92.36630036630036,16810.666666666668
Skip to Loafer,8,1435,1402,164748,114.80696864111498,20593.5
Solanin,2,433,1107,51936,119.9445727482679,25968.0
Sono Bisque Doll wa Koi wo Suru,12,2347,1575,238011,101.41073711120579,19834.25
Sore wa Rei no Shiwaza desu,7,1209,1130,122374,101.2191894127378,17482.0
Sounan desu ka,10,1524,1577,210307,137.996719160105,21030.7
Sousou no Frieren,13,2624,1809,283116,107.89481707317073,21778.153846153848
Spirit of Wonder,1,380,975,41366,108.8578947368421,41366.0
Studio Pulp,1,162,793,19626,121.14814814814815,19626.0
Subarashii Sekai,2,434,1020,58470,134.72350230414747,29235.0
Suki na ko ga Megane o Wasureta,8,1120,1076,104723,93.50267857142858,13090.375
Suki x Suki,2,384,902,42491,110.65364583333333,21245.5
Summer Time Render,13,2575,1631,234819,91.19184466019418,18063.0
Sun-ken Rock,25,5093,1978,309631,60.795405458472416,12385.24
Sundome,8,1672,1656,225270,134.73086124401914,28158.75
Super no Ura de Yani Suu Futari,4,819,983,82723,101.004884004884,20680.75
Sute gataki senshū Sen geba no musume pūko ashura kanketsu-hen,1,275,1093,44025,160.0909090909091,44025.0
Switch Witch,6,1206,1330,109893,91.12189054726367,18315.5
Taishou Yakyuu Musume,5,1014,1609,105450,103.99408284023669,21090.0
Taki Anna,2,304,714,31867,104.82565789473684,15933.5
Takopi no Genzai,2,432,769,36194,83.7824074074074,18097.0
Tanaka-kun wa Itsumo Kedaruge,10,1674,1650,267219,159.6290322580645,26721.9
Tapris Sugar Step,3,443,880,44172,99.71106094808127,14724.0
Tasogare Otome x Amnesia,10,1969,1542,198946,101.0391061452514,19894.6
Tatoe Todokanu Ito da to Shite mo,7,1241,1337,116554,93.91941982272361,16650.571428571428
Tegami Bachi,20,3957,1839,461937,116.73919636087946,23096.85
Telework Yotabanashi,1,196,963,28162,143.68367346938774,28162.0
